id,match_id,team_id,side,created_at,updated_at,score
1,1,1,home,2014-12-09 20:20:16.989701,2014-12-09 20:20:18.223272,41
2,1,2,away,2014-12-09 20:20:17.004417,2014-12-09 20:20:18.235838,10
3,2,3,home,2014-12-09 20:20:17.016247,2014-12-09 20:20:18.255018,34
4,2,4,away,2014-12-09 20:20:17.045996,2014-12-09 20:20:18.265957,24
5,3,5,home,2014-12-09 20:20:17.066234,2014-12-09 20:20:18.28875,49
6,3,6,away,2014-12-09 20:20:17.081836,2014-12-09 20:20:18.294583,25
7,4,7,home,2014-12-09 20:20:17.096575,2014-12-09 20:20:18.315362,47
8,4,8,away,2014-12-09 20:20:17.122859,2014-12-09 20:20:18.326638,21
9,5,9,home,2014-12-09 20:20:17.136425,2014-12-09 20:20:18.344824,9
10,5,10,away,2014-12-09 20:20:17.150257,2014-12-09 20:20:18.354796,13
11,6,11,home,2014-12-09 20:20:17.162282,2014-12-09 20:20:18.37649,32
12,6,12,away,2014-12-09 20:20:17.182001,2014-12-09 20:20:18.383068,6
13,7,13,home,2014-12-09 20:20:17.197861,2014-12-09 20:20:18.404853,22
14,7,14,away,2014-12-09 20:20:17.211885,2014-12-09 20:20:18.415395,10
15,8,15,home,2014-12-09 20:20:17.22584,2014-12-09 20:20:18.429875,17
16,8,16,away,2014-12-09 20:20:17.239059,2014-12-09 20:20:18.434918,16
17,9,17,home,2014-12-09 20:20:17.252598,2014-12-09 20:20:18.448116,49
18,9,6,away,2014-12-09 20:20:17.266141,2014-12-09 20:20:18.461393,12
19,10,2,home,2014-12-09 20:20:17.280242,2014-12-09 20:20:18.488325,20
20,10,18,away,2014-12-09 20:20:17.291758,2014-12-09 20:20:18.501189,25
21,11,3,home,2014-12-09 20:20:17.305833,2014-12-09 20:20:18.518206,15
22,11,19,away,2014-12-09 20:20:17.318611,2014-12-09 20:20:18.528749,6
23,12,20,home,2014-12-09 20:20:17.343037,2014-12-09 20:20:18.547283,6
24,12,14,away,2014-12-09 20:20:17.35512,2014-12-09 20:20:18.552471,13
25,13,1,home,2014-12-09 20:20:17.363454,2014-12-09 20:20:18.574984,83
26,13,8,away,2014-12-09 20:20:17.375111,2014-12-09 20:20:18.580432,7
27,14,9,home,2014-12-09 20:20:17.380912,2014-12-09 20:20:18.594925,43
28,14,4,away,2014-12-09 20:20:17.392091,2014-12-09 20:20:18.604666,8
29,15,15,home,2014-12-09 20:20:17.406102,2014-12-09 20:20:18.628588,49
30,15,5,away,2014-12-09 20:20:17.412322,2014-12-09 20:20:18.637712,3
31,16,11,home,2014-12-09 20:20:17.42692,2014-12-09 20:20:18.658179,6
32,16,13,away,2014-12-09 20:20:17.436019,2014-12-09 20:20:18.664672,15
33,17,16,home,2014-12-09 20:20:17.445923,2014-12-09 20:20:18.682247,17
34,17,17,away,2014-12-09 20:20:17.460576,2014-12-09 20:20:18.689987,10
35,18,10,home,2014-12-09 20:20:17.475861,2014-12-09 20:20:18.705086,41
36,18,19,away,2014-12-09 20:20:17.484742,2014-12-09 20:20:18.713222,8
37,19,7,home,2014-12-09 20:20:17.498155,2014-12-09 20:20:18.73172,25
38,19,18,away,2014-12-09 20:20:17.510599,2014-12-09 20:20:18.738536,19
39,20,12,home,2014-12-09 20:20:17.516218,2014-12-09 20:20:18.753769,53
40,20,20,away,2014-12-09 20:20:17.521742,2014-12-09 20:20:18.761446,17
41,21,2,home,2014-12-09 20:20:17.535329,2014-12-09 20:20:18.774782,31
42,21,8,away,2014-12-09 20:20:17.544986,2014-12-09 20:20:18.780666,18
43,22,15,home,2014-12-09 20:20:17.552703,2014-12-09 20:20:18.793526,87
44,22,6,away,2014-12-09 20:20:17.564229,2014-12-09 20:20:18.803718,0
45,23,11,home,2014-12-09 20:20:17.569578,2014-12-09 20:20:18.832567,67
46,23,14,away,2014-12-09 20:20:17.575052,2014-12-09 20:20:18.838134,5
47,24,10,home,2014-12-09 20:20:17.581604,2014-12-09 20:20:18.858293,67
48,24,4,away,2014-12-09 20:20:17.591642,2014-12-09 20:20:18.868145,3
49,25,1,home,2014-12-09 20:20:17.602607,2014-12-09 20:20:18.888238,37
50,25,7,away,2014-12-09 20:20:17.608553,2014-12-09 20:20:18.899008,17
51,26,5,home,2014-12-09 20:20:17.617999,2014-12-09 20:20:18.913798,7
52,26,17,away,2014-12-09 20:20:17.627811,2014-12-09 20:20:18.921923,27
53,27,13,home,2014-12-09 20:20:17.638179,2014-12-09 20:20:18.938361,62
54,27,20,away,2014-12-09 20:20:17.652487,2014-12-09 20:20:18.944484,12
55,28,9,home,2014-12-09 20:20:17.667385,2014-12-09 20:20:18.961864,13
56,28,3,away,2014-12-09 20:20:17.674991,2014-12-09 20:20:18.968016,12
57,29,16,home,2014-12-09 20:20:17.681557,2014-12-09 20:20:18.98481,81
58,29,6,away,2014-12-09 20:20:17.688685,2014-12-09 20:20:18.99195,7
59,30,18,home,2014-12-09 20:20:17.695012,2014-12-09 20:20:19.009648,23
60,30,8,away,2014-12-09 20:20:17.720288,2014-12-09 20:20:19.019617,23
61,31,12,home,2014-12-09 20:20:17.728283,2014-12-09 20:20:19.038372,27
62,31,14,away,2014-12-09 20:20:17.735188,2014-12-09 20:20:19.045359,10
63,32,19,home,2014-12-09 20:20:17.745591,2014-12-09 20:20:19.065509,25
64,32,4,away,2014-12-09 20:20:17.755079,2014-12-09 20:20:19.074884,9
65,33,15,home,2014-12-09 20:20:17.765001,2014-12-09 20:20:19.095702,13
66,33,17,away,2014-12-09 20:20:17.771556,2014-12-09 20:20:19.10464,5
67,34,11,home,2014-12-09 20:20:17.782481,2014-12-09 20:20:19.123186,68
68,34,20,away,2014-12-09 20:20:17.79347,2014-12-09 20:20:19.129733,22
69,35,7,home,2014-12-09 20:20:17.806348,2014-12-09 20:20:19.153062,14
70,35,2,away,2014-12-09 20:20:17.815206,2014-12-09 20:20:19.162795,19
71,36,10,home,2014-12-09 20:20:17.828605,2014-12-09 20:20:19.189435,16
72,36,3,away,2014-12-09 20:20:17.837905,2014-12-09 20:20:19.198498,12
73,37,9,home,2014-12-09 20:20:17.849949,2014-12-09 20:20:19.225323,25
74,37,19,away,2014-12-09 20:20:17.87219,2014-12-09 20:20:19.23069,7
75,38,1,home,2014-12-09 20:20:17.885245,2014-12-09 20:20:19.252036,79
76,38,18,away,2014-12-09 20:20:17.897195,2014-12-09 20:20:19.261406,15
77,39,16,home,2014-12-09 20:20:17.911403,2014-12-09 20:20:19.280075,66
78,39,5,away,2014-12-09 20:20:17.928239,2014-12-09 20:20:19.285508,0
79,40,13,home,2014-12-09 20:20:17.934647,2014-12-09 20:20:19.301432,36
80,40,12,away,2014-12-09 20:20:17.94234,2014-12-09 20:20:19.314921,6
81,41,13,home,2014-12-09 20:20:17.950233,2014-12-09 20:20:19.339002,10
82,41,16,away,2014-12-09 20:20:17.960582,2014-12-09 20:20:19.353835,22
83,42,10,home,2014-12-09 20:20:17.978177,2014-12-09 20:20:19.375914,12
84,42,7,away,2014-12-09 20:20:17.987637,2014-12-09 20:20:19.385457,19
85,43,15,home,2014-12-09 20:20:17.995607,2014-12-09 20:20:19.40517,9
86,43,11,away,2014-12-09 20:20:18.002826,2014-12-09 20:20:19.418849,11
87,44,1,home,2014-12-09 20:20:18.008533,2014-12-09 20:20:19.440083,33
88,44,9,away,2014-12-09 20:20:18.014277,2014-12-09 20:20:19.457917,10
89,45,16,home,2014-12-09 20:20:18.023387,2014-12-09 20:20:19.480463,8
90,45,7,away,2014-12-09 20:20:18.036825,2014-12-09 20:20:19.492729,9
91,46,11,home,2014-12-09 20:20:18.04772,2014-12-09 20:20:19.533225,6
92,46,1,away,2014-12-09 20:20:18.059164,2014-12-09 20:20:19.53891,20
93,47,16,home,2014-12-09 20:20:18.065142,2014-12-09 20:20:19.552276,18
94,47,11,away,2014-12-09 20:20:18.075197,2014-12-09 20:20:19.561279,21
95,48,7,home,2014-12-09 20:20:18.084515,2014-12-09 20:20:19.573985,7
96,48,1,away,2014-12-09 20:20:18.092221,2014-12-09 20:20:19.581319,8
